,id,hip,ra_leao,dec_leao,m/r,e_m/r,gr,c,gr+c,drv_m02,drv_m02_gr,drv_m02_gr+c,drv_g17,drv_g17_gr,drv_g17_gr+c,sptype,vmag,(b-v),e_(b-v),rv_p98,erv_p98,rv_m02,erv_m02,rv_g17,erv_g17,rv_harps,erv_harps,fwhm,s/n,flag,|r-rc|,e|r-rc|,v_alpha,ev_alpha,v_delta,ev_delta,cr,rv_harps_gr+c,rv_g17_cr,drv_g17_gr+c+cr,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,angular_distance,number_of_neighbours
0,2,16529,53.2094,23.692,1.13,0.040999999999999995,716,-340,377,-383,-1100,-760,-255,-972,-632,G5,8.88,0.8440000000000001,0.0,32.72,0.17,32.47,0.59,32.34,0.14,32.0867,0.0007,7.5,116,0,12.08,0.36,32.317,0.354,-7.852,0.086,-216,31.7098,32.13,-416,1635721458409799680,Gaia DR2 68001499939741440,68001499939741440,483306421,2015.5,53.20942466620557,0.055545975750895135,23.692017150753504,0.03236651521043561,23.770365771119337,0.055155504988437416,430.96997000000005,162.1866430005063,0.12468681600838995,-39.491038322029155,0.07230017151428403,-0.14394528,-0.039457735,-0.52959013,0.2572764,0.13482679999999997,0.27027193,-0.12812157,0.4522201,-0.04432326,-0.14554887,149,149,146,3,5.432002,252.32,0.0,0.0,31,True,208.2279,1.5696822887751962,0.012334023624569404,-0.106743276,17,9,0.07792627,0,21,False,174,6630202.040729421,3081.1380600795715,2151.868,8.634549,20,3207120.830141596,6156.196708177265,520.9581,9.0861,20,4766867.069020446,11257.715125031677,423.43112,8.066338,1.2026763999999999,0,1.019762,0.45155048,0.56821156,31.68961954991343,0.13477878994314946,6,5250.0,4.5,0.25,NOT_AVAILABLE,164.1912877466095,-25.968387465136647,56.62972634483172,4.41379441659591,100001,5185.5527,5129.14,5250.0,0.092,0.0083,0.1841,0.046,0.0039,0.1195,200111,0.87077284,0.8495254000000001,0.8900325000000001,0.49395192,0.49239776,0.49550608,http://geadata.esac.esa.int/data-server/datalink/links?ID=68001499939741440,,0.0014129220176716535,1
1,4,18327,58.7777,16.9984,1.135,0.046,720,-318,402,391,-329,-11,523,-197,121,K2,8.99,0.895,0.001,36.79,0.13,36.03,0.59,35.9,0.15,36.4212,0.001,8.5,97,0,8.51,0.43,28.400,0.266,-4.712,0.046,-287,36.0192,35.61,408,1635721458409799680,Gaia DR2 43538293935879680,43538293935879680,651465982,2015.5,58.77775368324535,0.04093174843684727,16.998372278667446,0.021224833672980784,24.39947452079605,0.04164814124478661,585.84784,147.8183484290635,0.10364492593579867,-24.483923591741988,0.05205078012901945,-0.156372,0.05422314599999999,0.073656216,-0.22415225,0.20354883,-0.22753136,0.5674501000000001,-0.013103576,0.046379912999999995,-0.17320372,282,282,273,9,10.188324,578.73096,0.0,0.0,31,True,282.6459,1.5470327846864524,0.006104684872661702,-0.17853731,32,11,0.06606852,0,36,True,312,6045376.522912375,4078.565961106053,1482.231,8.734807,32,2856064.3078265367,6835.483373365893,417.82916,9.211967999999999,34,4443682.989685498,7798.564636804213,569.8078,8.142562,1.2074926000000001,0,1.0694065000000001,0.47716140000000007,0.5922451,36.403457012770865,0.1750346509308346,11,5000.0,4.5,0.25,NOT_AVAILABLE,173.56853360210965,-27.309512742614807,60.22977476070631,-3.2723720393402367,100001,5087.0,5060.657,5146.95,0.158,0.142,0.1915,0.078,0.0736,0.13,200111,0.8491781999999999,0.82951146,0.8580419,0.43505016,0.4339379,0.4361624,http://geadata.esac.esa.int/data-server/datalink/links?ID=43538293935879680,,0.005623565993642086,1
2,5,19098,61.415,17.9378,1.135,0.077,719,-327,392,-341,-1061,-733,-214,-934,-606,K2,9.31,0.89,0.008,37.61,0.05,37.16,0.59,37.03,0.16,36.819,0.0007,8.3,98,0,--,--,--,--,--,--,34,36.4267,37.07,-640,1635721458409799680,Gaia DR2 47019347749289216,47019347749289216,1003645212,2015.5,61.41589317155971,0.04257223768143361,17.937593851595217,0.017411382775229026,21.830825405399885,0.04094078409394554,533.2293,128.30136963813922,0.09951507344934156,-27.37494454449491,0.04274050753553366,0.033791386,0.18605985,-0.43007064,-0.08246381,0.06195043,0.029135552999999998,0.42797822,0.12535997,-0.17526294,0.094223164,283,283,279,4,7.9741325,505.26657,0.0,0.0,31,True,248.34918,1.556106666535512,0.006923778576363916,-0.09763423,33,10,0.06504537,0,37,False,292,4605395.59407934,1293.406482995916,3560.6714,9.030198,35,2193587.2072064304,3055.0103508140583,718.02936,9.498501,35,3367174.4136018725,4842.037103318728,695.4045,8.443756,1.2074448999999998,0,1.0547447,0.46830273,0.586442,36.57164218928388,0.21398315015646288,8,5250.0,4.5,0.0,NOT_AVAILABLE,174.73060888869819,-24.834586853519248,62.88639669071805,-2.8515832763448263,100001,4966.0,4632.6665,5144.8667,0.1203,0.0329,0.2658,0.061,0.015,0.1106,200111,0.8802677,0.8201248,1.0115005,0.42457175,0.42340955,0.42573395,http://geadata.esac.esa.int/data-server/datalink/links?ID=47019347749289216,,0.001609862572893224,1
3,6,19148,61.5677,15.698,1.061,0.07,672,-563,109,142,-530,33,269,-404,160,G0,7.85,0.593,0.005,38.04,0.17,37.44,0.59,37.31,0.16,37.5821,0.0009,10.7,131,0,4.28,0.36,26.418,0.293,-4.357,0.050,-87,37.473,37.23,247,1635721458409799680,Gaia DR2 45367056650753280,45367056650753280,1199753860,2015.5,61.5677309153752,0.04103118472032551,15.698035581492244,0.021197993778088533,21.025661670179826,0.04313199689504799,487.47247000000004,118.91204778598131,0.09247634160674137,-19.77565054311868,0.05077718841213047,0.12676322,0.17695273,-0.2909224,0.05195948,0.04412809400000001,0.091509014,0.3519173,0.21746145,-0.08821896,0.12775454,284,284,282,2,8.7118845,535.7775,0.0,1.6970075024191037e-15,31,True,75.05649,1.6213875378563032,0.008170870441129954,-0.07870824,32,11,0.059068895999999996,0,37,False,302,15776763.3273984,9955.201437760257,1584.7759,7.6933207999999995,34,8600717.65010071,17235.92920665627,498.99935999999997,8.015052,33,10083393.174354883,16666.77812508884,604.9996,7.2529035,1.1842803999999998,0,0.7621484000000001,0.3217311,0.44041729999999996,37.545404434311145,0.1514717702500898,18,6000.0,4.5,0.0,NOT_AVAILABLE,176.67632493907485,-26.23266889409725,62.60214445008968,-5.077867125113639,100001,5964.6665,5873.6665,5996.0,0.1045,0.0282,0.2776,0.046,0.013000000000000001,0.1337,200111,1.1064343,1.0949007,1.1409837,1.396017,1.3918273,1.4002066,http://geadata.esac.esa.int/data-server/datalink/links?ID=45367056650753280,,0.0033323133220298745,1
4,9,19796,63.6436,10.7014,1.028,0.052000000000000005,651,-573,79,-368,-1020,-447,-236,-888,-315,F8V,7.11,0.514,0.008,38.5,0.15,38.65,0.6,38.52,0.16,38.2816,0.0042,22.6,130,0,5.90,0.44,25.552,0.275,-1.179,0.016,-152,38.2029,38.37,-163,1635721458409799680,Gaia DR2 3300934223858467072,3300934223858467072,1271241086,2015.5,63.64361119965413,0.038592071121845296,10.701362795357467,0.031840284255138136,22.293155692727726,0.044350882737103726,502.65417,119.70806326476222,0.08717821139885999,-5.774620258184483,0.08286323679557643,0.02735781,0.31387025,-0.15938088,0.13412376,-0.30822438,0.09944219,-0.15310873,0.00877054,0.020043323000000002,0.36760570000000004,161,161,154,7,6.185768599999999,282.30136,0.0,0.0,31,True,144.0179,1.5913447103551397,0.010815618625070016,0.026618209,18,10,0.061867528,0,26,False,219,30839702.60833128,9296.98018654108,3317.1740000000004,6.9655905,24,17364927.67940835,33607.217493271535,516.70233,7.252206,23,18735966.423804235,56730.60082428809,330.2621,6.5802298,1.170598,0,0.6719761,0.28661537,0.38536072,38.66526280792333,0.2951113751359772,14,6250.0,4.5,0.25,NOT_AVAILABLE,182.42611033102744,-27.919582749581057,63.674889428415106,-10.361721148528481,100001,6292.5,6236.75,6309.6665,0.11900000000000001,0.0152,0.2381,0.066,0.0152,0.1616,200111,1.3049955,1.2979043,1.3284303999999998,2.4055016,2.3986718999999996,2.4123313,http://geadata.esac.esa.int/data-server/datalink/links?ID=3300934223858467072,,0.00652029821994601,1
5,10,20146,64.7839,17.5246,1.1059999999999999,0.048,701,-451,250,-574,-1275,-823,-447,-1147,-696,G8V,8.47,0.721,0.016,38.8,0.08,38.66,0.6,38.53,0.16,38.0862,0.001,9.3,124,0,1.74,0.20,25.318,0.313,-6.221,0.078,-77,37.8365,38.46,-619,1635721458409799680,Gaia DR2 47345009348203392,47345009348203392,1405039052,2015.5,64.78387715273041,0.06132656063354755,17.52463436883315,0.0317004734757672,21.29438504487037,0.05874302503266915,362.50064,113.00135140371245,0.1257398293251655,-28.05326382474864,0.08698657936681757,-0.11932755,0.37962052,-0.40614647,0.077428535,0.011216773000000001,0.10557112,-0.3572383,0.08692868,-0.041359276,0.038520847000000004,156,156,152,4,5.4228544,259.98913999999996,0.0,0.0,31,True,120.654366,1.5747179622845953,0.010248424873499905,-0.06840965,18,9,0.07522739,0,24,False,192,9275391.202370685,4241.0792780766715,2187.0356,8.270035,24,4799690.090743827,10579.042743753203,453.69797,8.6483555,23,6305002.168796694,8401.431198855915,750.46765,7.7627068,1.1972208999999998,0,0.8856487,0.3783207,0.50732803,37.84735335840655,0.2908666628530297,12,5750.0,4.5,0.25,NOT_AVAILABLE,177.39644096431633,-22.710718885380572,65.9726541236255,-3.8360012416999667,100001,5571.5,5501.3335,5612.3335,0.0595,0.017,0.2173,0.0403,0.0096,0.1073,200111,0.9721119,0.95801777,0.9970674999999999,0.8203813,0.8173669,0.82339567,http://geadata.esac.esa.int/data-server/datalink/links?ID=47345009348203392,,0.006337042194606087,1
6,11,20205,64.9481,15.6277,0.248,0.015,155,-566,-412,-362,-516,50,-241,-396,170,G8III,3.65,0.981,0.012,39.28,0.11,38.91,0.6,38.79,0.16,38.5485,0.0007,8.5,116,0,--,--,--,--,--,--,-78,38.9601,38.71,248,1635721458409799680,Gaia DR2 3312052249216467328,3312052249216467328,385366724,2015.5,64.94886907387871,0.3818244013756785,15.627541217671025,0.3167559473437725,22.62342033471569,0.4613999858690468,49.032123999999996,113.15797064318966,0.9670687389884534,-25.269866738759504,0.7590906557870265,-0.008495701500000001,-0.22957600000000003,-0.26558608,0.19606006,-0.08223589999999999,0.16898814,-0.18888581,0.40127444,0.09172092,-0.13961545,218,218,189,29,158.98978,51094.42,1.987861260358722,1398.03154701069,31,False,0.23299363,2.085942502698982,0.10807123274030142,-0.08962983,27,10,0.49092722,0,33,False,203,910651327.8135108,730040.6434367555,1247.3981,3.2899854,29,337752529.4066392,8091604.291990552,41.741108000000004,4.0298915,28,604866362.0280488,3371871.4489407083,179.38596,2.8077714,1.035104,0,1.22212,0.7399061,0.48221397,,,0,,,,NOT_AVAILABLE,179.08423223735062,-23.815173243259434,65.80626080629592,-5.732438605041586,101001,4707.25,4425.0,5481.49,,,,,,,200111,13.763117000000001,10.149719000000001,15.574882,83.79099000000001,81.88211,85.699875,http://geadata.esac.esa.int/data-server/datalink/links?ID=3312052249216467328,,0.07927881128064078,1
7,12,20480,65.8435,21.3789,1.115,0.05,707,-389,318,171,-535,-146,289,-418,-29,G9V,8.84,0.758,0.003,39.24,0.24,38.56,0.6,38.44,0.16,38.7314,0.0009,8.2,105,0,4.77,0.56,23.418,0.293,-8.940,0.113,9,38.4138,38.45,-37,1635721458409799680,Gaia DR2 145325548516513280,145325548516513280,198453026,2015.5,65.84350110378152,0.0441630116884538,21.37893467308491,0.02392467921539575,19.881260716176914,0.04619764830567075,430.35222999999996,99.53931451913172,0.12421733856295394,-37.97762405839497,0.07487594476236276,0.021309497,0.11152111,-0.44357532,0.13535802,-0.014399219,0.17059438,-0.6022004,-0.14310554,0.26439878,-0.27029000000000003,267,267,262,5,8.593895,504.17578,0.0,0.0,31,True,227.34874,1.594037601422997,0.007366973540010138,-0.06401567,30,10,0.07936792,0,36,True,294,6602456.153051552,3122.449799859492,2114.5115,8.639102000000001,33,3360838.562055225,4914.273107576432,683.8933,9.035269,35,4551729.550956267,5324.838328793197,854.81085,8.116479,1.1984278999999998,1,0.91878986,0.3961668,0.52262306,38.65632569060954,0.2494420702048219,9,5500.0,4.5,0.0,NOT_AVAILABLE,174.97234562040427,-19.433691787695924,67.5998160987029,-0.2014563900001355,100002,5500.0,5370.3,5570.0,0.079,0.0143,0.1861,0.0433,0.0054,0.0921,200111,0.90454274,0.8819502,0.94876224,0.67453367,0.67231125,0.6767561,http://geadata.esac.esa.int/data-server/datalink/links?ID=145325548516513280,,0.0040472039899298465,1
8,13,20492,65.8852,14.6704,1.1320000000000001,0.064,717,-340,378,128,-590,-250,252,-465,-126,K1V,9.11,0.855,0.018000000000000002,40.29,0.06,39.38,0.6,39.26,0.16,39.5077,0.001,8.4,100,0,2.11,0.40,24.018,0.274,-3.949,0.051,-109,39.1299,39.15,-16,1635721458409799680,Gaia DR2 3311148828615843328,3311148828615843328,958135451,2015.5,65.88520823022283,0.0560079266576767,14.670400927721095,0.028778488572197707,21.465177264931558,0.0628803606173286,341.36536,109.35191271212835,0.1830430160693741,-17.980701291779575,0.0810548651269315,0.018089356,-0.17779468,-0.4216979,0.1969615,0.10679635400000001,0.18961255,-0.22832863,0.18868203,0.102046035,-0.31052905,149,149,147,2,3.2288732999999996,202.81361,0.0,0.0,31,True,269.71942,1.5634716321514586,0.009450857021251893,-0.057593856,17,8,0.10697504,0,18,True,157,5300912.843305657,3301.9551885856554,1605.3861,8.877489,17,2565825.2551547782,6057.285491146325,423.59326,9.3283205,17,3827542.0786735713,7620.8965712107065,502.24300000000005,8.30462,1.2060879999999998,0,1.0237007,0.45083140000000005,0.5728693,39.31727655729007,0.2609604600760948,6,5250.0,4.5,0.0,NOT_AVAILABLE,180.51934266507425,-23.725560761217537,66.54252661447323,-6.826680126571932,100001,5200.0,5134.7970000000005,5346.6665,0.07400000000000001,0.004,0.183,0.0373,0.0049,0.0901,200111,0.8564171,0.8100761,0.8783053,0.48314643,0.48127929999999997,0.48501354,http://geadata.esac.esa.int/data-server/datalink/links?ID=3311148828615843328,,0.0021736102395643873,1
9,14,20557,66.0613,21.7361,1.03,0.040999999999999995,652,-602,51,-316,-969,-367,-196,-849,-247,F8V,7.13,0.518,0.013999999999999999,38.94,0.13,38.59,0.6,38.47,0.16,38.2739,0.0038,17.2,102,0,5.41,0.49,23.819,0.328,-9.294,0.128,-230,38.2231,38.24,-17,1635721458409799680,Gaia DR2 145373377272257664,145373377272257664,959042316,2015.5,66.06126789417975,0.04140174055806597,21.73604857831852,0.0246091524425044,23.107320168301555,0.038553182803409636,599.3622,117.53097609898693,0.09884297063837784,-45.805935458962814,0.07477802561020754,0.49674878,0.058808584000000004,-0.5502415,-0.32209063,-0.060176577,-0.35288128,-0.6546535,0.12775701,0.16941853,0.4296862,303,303,301,2,12.55307,717.32336,0.0,0.0,31,True,141.88263999999998,1.6369629391576783,0.005717678122878511,0.086697325,34,11,0.07239836,0,44,True,342,30153500.05321177,6762.468731268938,4458.9487,6.9900210000000005,38,17003845.68994207,18798.792554589018,904.5179400000001,7.27502,39,18486475.253434155,29702.282106872957,622.3924,6.594784700000001,1.1769885,0,0.6802354,0.2849989,0.3952365,38.33665475162847,0.15721348105296762,20,6250.0,4.5,0.25,NOT_AVAILABLE,174.82822198949123,-19.046349407293047,67.85755709417303,0.1181056401200612,100001,6225.3335,6072.4,6312.25,0.08199999999999999,0.0219,0.2747,0.0483,0.013000000000000001,0.154,200111,1.2727097,1.2379018,1.3376233999999998,2.191815,2.186387,2.1972427000000003,http://geadata.esac.esa.int/data-server/datalink/links?ID=145373377272257664,,0.0040093182777296505,1
10,16,20826,66.9424,11.7364,1.047,0.039,663,-615,48,-296,-960,-345,-171,-834,-219,F8,7.49,0.56,0.006999999999999999,40.22,0.21,39.99,0.6,39.86,0.17,39.6935,0.002,13.6,127,0,4.34,0.30,24.105,0.274,-2.733,0.032,-116,39.6453,39.75,-103,1635721458409799680,Gaia DR2 3306922958753764992,3306922958753764992,401500177,2015.5,66.94246144055768,0.03247006221756968,11.736365486106086,0.02172762339921226,22.02257903124011,0.03795442488470365,580.2375,110.08489187945959,0.07172077138827515,-12.426956535282883,0.04802921799520349,0.091083296,0.28530502,-0.16210091,0.21361867,-0.16553822,0.14280783,-0.19861642,0.09955705,0.24229635,0.065201476,246,246,244,2,8.595455000000001,479.42084000000006,0.0,0.0,31,True,116.71914,1.6195028315664015,0.007248415906097054,0.047617245,28,10,0.046998445,0,32,False,254,21514346.61212276,14295.662817770215,1504.9562,7.3565454,29,11880718.860519866,19963.19317736588,595.1311599999999,7.6642814,29,13457728.721336085,25170.245012338808,534.66815,6.939491,1.1777465,0,0.7247906,0.30773592,0.41705465,39.09251992909814,0.17535670437220294,13,6250.0,4.0,0.25,NOT_AVAILABLE,183.74468608803056,-24.734421804604025,67.09219927130529,-9.888065372703958,100001,6096.775,6041.8,6122.5,0.0765,0.008,0.26899999999999996,0.013000000000000001,0.0033,0.139,200111,1.1779414,1.1680635,1.1994755,1.7272006000000002,1.722633,1.7317683000000001,http://geadata.esac.esa.int/data-server/datalink/links?ID=3306922958753764992,,0.001911919311216137,1
11,17,20850,67.0189,13.8679,1.13,0.055999999999999994,716,-345,371,404,-312,33,523,-193,152,K0V,9.02,0.8390000000000001,0.006999999999999999,40.94,0.08,39.89,0.6,39.77,0.16,40.2936,0.0009,8.0,98,0,2.86,0.23,23.240,0.265,-4.312,0.052,-56,39.9226,39.71,208,1635721458409799680,Gaia DR2 3307844864893938304,3307844864893938304,23357054,2015.5,67.01892650705639,0.06126748600708376,13.867856798752587,0.025878470606580155,20.761288527507038,0.06538954825547594,317.50165,102.17749011093399,0.18208800320127894,-19.14216352668257,0.07837074958308278,-0.014699055,-0.23258014,-0.2260006,0.46262622,0.0018197572,0.6326258000000001,-0.54317945,-0.10591123,0.20240559,-0.40809485,390,390,387,3,9.012608,688.20105,0.0,2.893253841644353e-15,31,True,227.78232000000003,1.5729719637378652,0.0064239485367721715,0.053717572000000005,44,10,0.10597245,0,50,True,400,5531521.814194725,1331.0066381659194,4155.8936,8.831254,44,2720793.1648256243,2511.709683751007,1083.2435,9.264649,41,3970428.2963286135,3645.0862899216413,1089.255,8.264827,1.2096528999999998,0,0.9998226,0.43339540000000004,0.56642723,40.37882902777672,0.1841936667557844,10,5250.0,4.5,0.25,NOT_AVAILABLE,181.9513725708101,-23.3679479802745,67.50633051242495,-7.7948904525466975,100001,5245.665,5187.6665,5289.22,0.1447,0.0797,0.26,0.0693,0.0363,0.1175,200111,0.8856388000000001,0.8711129000000001,0.9055525,0.53506947,0.5328895,0.53724945,http://geadata.esac.esa.int/data-server/datalink/links?ID=3307844864893938304,,0.0053581908386317175,2
12,18,20889,67.1539,19.1805,0.22,0.013000000000000001,137,-562,-425,-955,-1092,-530,-838,-975,-413,K0III,3.53,1.014,0.006,39.37,0.06,39.39,0.6,39.27,0.16,38.4354,0.0004,9.0,199,0,--,--,--,--,--,--,-68,38.8603,39.21,-345,1635721458409799680,Gaia DR2 48026706557926528,48026706557926528,887111430,2015.5,67.15465729101625,0.3701352899470439,19.18027817758484,0.2481464204699017,20.31296105209305,0.4260689938844761,47.675284999999995,107.50303801276002,1.036090869482359,-38.06607555645553,0.7003509117798671,0.0729795,-0.043500199999999996,-0.43941474,0.06854279,-0.06503436,0.07098201,-0.40971857,-0.023633359,0.12938516,-0.05223322,247,247,229,18,169.13928,56717.473,1.6930426270596544,1266.6517239172842,31,True,0.31843716,1.650932640485375,0.08173935391468493,-0.025942495,28,9,0.5168094,0,34,True,262,1027679993.990998,2776880.5665479517,370.08432,3.158721,30,372479960.76731336,5190085.027402408,71.7676,3.923631,32,672858945.9932821,4204410.4794053305,160.03645,2.6921098,1.0171833000000001,0,1.2315211000000001,0.7649100000000001,0.46661115,,,0,,,,NOT_AVAILABLE,177.5968151550846,-19.92339634701305,68.46549089182723,-2.5673766265756814,101001,4670.75,4323.3335,5514.5,,,,,,,200111,16.636415,11.934953,19.417599,118.67539,115.87592,121.47486,http://geadata.esac.esa.int/data-server/datalink/links?ID=48026706557926528,,0.04935549382036112,1
13,19,20949,67.3786,26.6713,1.117,0.051,708,-392,315,577,-131,262,689,-18,374,G5,9.19,0.7659999999999999,0.002,39.02,0.17,38.12,0.59,38.01,0.15,38.6972,0.0011,7.5,76,0,13.27,1.46,22.297,0.514,-13.055,0.301,252,38.3817,38.26,122,1635721458409799680,Gaia DR2 151379150300399360,151379150300399360,1468966676,2015.5,67.37858983968829,0.06774548908382368,26.67133983134532,0.038677397805690183,17.156238086981364,0.06305972865549253,272.0633,82.80699121965715,0.17288661437406516,-48.284710065250216,0.08992965968446412,-0.13026206,-0.08213362,-0.6052360999999999,0.20608309,0.020217273,0.24097973,-0.7334733,0.21895170000000003,0.02514902,-0.22319789999999998,152,152,150,2,6.0174875,272.49332000000004,0.0,0.0,31,True,260.49335,1.5718924901700018,0.01037478561562285,-0.10268143,17,8,0.103830755,0,19,False,167,4796174.632999866,3312.4130311596227,1447.9398,8.986127999999999,19,2424359.5787028507,5457.466985405043,444.228,9.389895,19,3318261.238895171,6100.081593781573,543.97,8.459643,1.1973336,0,0.9302521,0.4037676,0.5264845,39.00203457298365,0.3732240105927401,3,5500.0,4.5,0.0,NOT_AVAILABLE,171.77763131065518,-14.88814286586148,69.82284927406896,4.80278419907987,100001,5500.0,5425.0,5587.5,0.019,0.0065,0.1524,0.0123,0.0029,0.0838,200111,0.8933994000000001,0.8656372999999999,0.9182725,0.65801656,0.6548369,0.66119623,http://geadata.esac.esa.int/data-server/datalink/links?ID=151379150300399360,,0.005082073860121518,1
